Wall time,Step,Value
1710849734.3867826,4338,1.6576581884919506e-08
1710850682.5621336,8676,1.3285325728418229e-08
1710851591.9577305,13014,7.513883737431115e-09
1710852557.1323724,17352,9.097931297219475e-09
1710853533.7567832,21690,2.216779115826739e-08
1710854516.2795277,26028,6.19905282661648e-09
1710855505.7761824,30366,1.2173407171189865e-08
1710856492.8006368,34704,1.0013193829649936e-08
1710857476.132945,39042,1.1819325962392213e-08
1710858465.9285958,43380,8.879880830647835e-09
1710859455.5435662,47718,9.879761897479966e-09
1710860438.6987793,52056,9.7780699093164e-09
1710861419.170002,56394,1.731975274310571e-08
1710862399.5272255,60732,1.169707175563417e-08
1710863379.5099714,65070,8.304864351771357e-09
1710864373.5242517,69408,1.3658064901278522e-08
1710865355.2631361,73746,5.918144641015033e-09
1710866331.5589464,78084,7.724149320154083e-09
1710867307.484251,82422,8.89742768350743e-09
1710868287.52374,86760,1.971525165345156e-08
1710869259.7727566,91098,1.2609824295850558e-08
1710870235.6702335,95436,2.9011513191790073e-08
1710871194.7813504,99774,3.4775165858036416e-08
1710872155.130197,104112,1.6568389327176192e-08
1710873136.071802,108450,3.6670648739800527e-08
1710874116.9771647,112788,4.805369613336552e-08
1710875101.3060045,117126,5.014809545400567e-08
1710876080.6516838,121464,4.66496743456446e-08
1710877061.6950202,125802,3.768026957118309e-08
1710878060.8219779,130140,4.32652491610952e-08
1710879045.3169928,134478,4.3345877998035576e-08
1710880031.4514997,138816,3.807629767038634e-08
1710881017.906248,143154,2.6286235410566405e-08
1710881992.9164298,147492,2.514390473606909e-08
1710882968.7684104,151830,2.546926403113048e-08
1710883929.4534125,156168,2.6343972336917432e-08
1710884902.3328893,160506,3.5380452345634694e-08
1710885866.7643547,164844,4.41363710024234e-08
1710886848.6098697,169182,2.621477968034469e-08
1710887824.790027,173520,3.104701917777675e-08
1710888793.5657523,177858,3.5417262012060746e-08
1710889765.9489815,182196,2.9201768114717197e-08
1710890747.1002972,186534,3.204210230478566e-08
1710891736.916424,190872,3.236313617094311e-08
1710892727.9926307,195210,3.3644397490206757e-08
1710893705.5748236,199548,3.69943435885034e-08
1710894695.9774272,203886,3.5858811031630466e-08
1710895689.0780709,208224,3.533870440719511e-08
